"Categories1","Categories2","Categories3","Categories4","Categories5","Categories6","Categories7","Categories8","Categories9"
"Desserts","Bakery","Pizza","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"Deli","FastFood","0","0","0","0","0","0","0"
"Italian","IceCream","Pizza","0","0","0","0","0","0"
"Barbeqe","0","0","0","0","0","0","0","0"
"IceCream","0","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"Deli","FastFood","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"Bar","Pizza","0","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Longe","Brgers","Bar","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"Desserts","IceCream","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Desserts","Foodtrck","Cafe","FastFood","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Deli","Cafe","0","0","0","0","0","0","0"
"Vietnamese","0","0","0","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Korean","Japanese","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"Chinese","FastFood","0","0","0","0","0","0","0"
"Italian","Pizza","0","0","0","0","0","0","0"
"Deli","Desserts","American","0","0","0","0","0","0"
"Seafood","0","0","0","0","0","0","0","0"
"American","Steakhose","French","0","0","0","0","0","0"
"Chinese","FastFood","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Filipino","0","0","0","0","0","0","0","0"
"Deli","JiceBar","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"Mexican","Tex-Mex","FastFood","0","0","0","0","0","0"
"WineBar","BeerBar","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"JiceBar","0","0","0","0","0","0","0","0"
"SportsBar","Bar","Barbeqe","0","0","0","0","0","0"
"SportsBar","American","Bar","0","0","0","0","0","0"
"Brgers","American","Bar","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"Korean","Mexican","SaladBar","0","0","0","0","0","0"
"American","Bakery","0","0","0","0","0","0","0"
"Italian","Mediterranean","Trkish","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"Pizza","Mediterranean","Italian","0","0","0","0","0","0"
"Bar","WineBar","BeerBar","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Deli","FastFood","0","0","0","0","0","0","0"
"Portgese","Greek","Indian","Pizza","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"Chinese","0","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"Pizza","Italian","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Mexican","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"BeerBar","0","0","0","0","0","0","0","0"
"American","FastFood","0","0","0","0","0","0","0"
"Greek","0","0","0","0","0","0","0","0"
"Mexican","0","0","0","0","0","0","0","0"
"Deli","Donts","Cafe","0","0","0","0","0","0"
"Bakery","Cafe","0","0","0","0","0","0","0"
"Thai","Malaysian","0","0","0","0","0","0","0"
"Desserts","Bakery","Cafe","JiceBar","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"Mexican","FastFood","0","0","0","0","0","0","0"
"Longe","Bar","0","0","0","0","0","0","0"
"French","0","0","0","0","0","0","0","0"
"Bar","WineBar","SportsBar","Brgers","American","BeerBar","0","0","0"
"American","Bar","Tex-Mex","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Mexican","0","0","0","0","0","0","0","0"
"Japanese","0","0","0","0","0","0","0","0"
"Italian","0","0","0","0","0","0","0","0"
"French","0","0","0","0","0","0","0","0"
"Cafe","French","0","0","0","0","0","0","0"
"Italian","0","0","0","0","0","0","0","0"
"SportsBar","Bar","BeerBar","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"IceCream","0","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"WineBar","BeerBar","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Deli","Cafe","IceCream","0","0","0","0","0","0"
"Deli","American","Bar","0","0","0","0","0","0"
"Deli","Bakery","SaladBar","0","0","0","0","0","0"
"Desserts","0","0","0","0","0","0","0","0"
"American","Persian","FastFood","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"AsianFsion","Chinese","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Greek","0","0","0","0","0","0","0","0"
"Deli","Diner","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Korean","SshiBar","Japanese","0","0","0","0","0","0"
"Deli","Donts","Cafe","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"Desserts","IceCream","0","0","0","0","0","0","0"
"Brgers","0","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"Brgers","0","0","0","0","0","0","0","0"
"Bar","WineBar","SaladBar","Italian","0","0","0","0","0"
"Donts","Bakery","0","0","0","0","0","0","0"
"Greek","Mediterranean","0","0","0","0","0","0","0"
"IceCream","0","0","0","0","0","0","0","0"
"Deli","Cafe","SaladBar","0","0","0","0","0","0"
"Brgers","HotDogs","FastFood","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"Irish","Bar","0","0","0","0","0","0","0"
"Seafood","0","0","0","0","0","0","0","0"
"Chinese","0","0","0","0","0","0","0","0"
"Desserts","JiceBar","IceCream","0","0","0","0","0","0"
"Kosher","0","0","0","0","0","0","0","0"
"WineBar","BeerBar","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Chinese","0","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"American","Cafe","0","0","0","0","0","0","0"
"Mexican","Tex-Mex","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"SportsBar","Bar","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"Portgese","Barbeqe","0","0","0","0","0","0","0"
"Chinese","0","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"Bar","Brgers","Steakhose","0","0","0","0","0","0"
"Indian","MiddleEastern","0","0","0","0","0","0","0"
"Deli","SaladBar","0","0","0","0","0","0","0"
"Bar","American","WineBar","Italian","0","0","0","0","0"
"Greek","0","0","0","0","0","0","0","0"
"American","FastFood","0","0","0","0","0","0","0"
"WineBar","Bar","BeerBar","0","0","0","0","0","0"
"Thai","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Mexican","Tex-Mex","FastFood","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"SshiBar","Japanese","0","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Mexican","0","0","0","0","0","0","0","0"
"Mexican","0","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"Bar","SaladBar","French","Longe","Cafe","IceCream","0","0","0"
"Mexican","Tex-Mex","FastFood","0","0","0","0","0","0"
"Donts","Cafe","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Longe","Bar","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Thai","Vietnamese","0","0","0","0","0","0","0"
"Longe","American","Bar","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"Italian","Pizza","0","0","0","0","0","0","0"
"Lebanese","MiddleEastern","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"American","Bar","0","0","0","0","0","0","0"
"Longe","HookahBar","Bar","0","0","0","0","0","0"
"Brgers","IceCream","FastFood","0","0","0","0","0","0"
"JiceBar","Vietnamese","0","0","0","0","0","0","0"
"MiddleEastern","0","0","0","0","0","0","0","0"
"Mexican","0","0","0","0","0","0","0","0"
"Desserts","Bakery","0","0","0","0","0","0","0"
"Bar","French","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"MiddleEastern","0","0","0","0","0","0","0","0"
"Steakhose","0","0","0","0","0","0","0","0"
"Mediterranean","Eropean","0","0","0","0","0","0","0"
"FastFood","Foodtrck","0","0","0","0","0","0","0"
"Korean","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"American","IceCream","0","0","0","0","0","0","0"
"Bar","Chinese","Deli","Seafood","MiddleEastern","SportsBar","Indian","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"Longe","Bar","TikiBar","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Deli","Desserts","0","0","0","0","0","0","0"
"Cafe","Bar","0","0","0","0","0","0","0"
"Japanese","0","0","0","0","0","0","0","0"
"Irish","Bar","0","0","0","0","0","0","0"
"Seafood","SshiBar","Japanese","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Seafood","Filipino","0","0","0","0","0","0","0"
"Thai","Chinese","0","0","0","0","0","0","0"
"Deli","JiceBar","Cafe","SaladBar","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"AsianFsion","Thai","Chinese","0","0","0","0","0","0"
"Deli","Foodtrck","0","0","0","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Italian","0","0","0","0","0","0","0","0"
"Deli","FastFood","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"SshiBar","Japanese","0","0","0","0","0","0","0"
"Deli","JiceBar","SaladBar","0","0","0","0","0","0"
"Bar","Mexican","0","0","0","0","0","0","0"
"Chinese","0","0","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"Greek","Mediterranean","0","0","0","0","0","0","0"
"WineBar","BeerBar","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"JiceBar","Cafe","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Pervian","Bar","LatinAmerican","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Bakery","Chinese","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"Deli","FastFood","0","0","0","0","0","0","0"
"American","Mediterranean","0","0","0","0","0","0","0"
"Deli","Desserts","Cafe","0","0","0","0","0","0"
"Desserts","American","Steakhose","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"AsianFsion","SshiBar","Japanese","0","0","0","0","0","0"
"Bar","Brgers","American","WineBar","Desserts","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Deli","Cafe","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"Mexican","0","0","0","0","0","0","0","0"
"IceCream","0","0","0","0","0","0","0","0"
"FastFood","MiddleEastern","Pizza","0","0","0","0","0","0"
"American","Bar","0","0","0","0","0","0","0"
"Mexican","0","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Deli","Brgers","American","HotDogs","Barbeqe","0","0","0","0"
"SportsBar","American","Bar","0","0","0","0","0","0"
"SshiBar","Japanese","0","0","0","0","0","0","0"
"American","Canadian","0","0","0","0","0","0","0"
"SaladBar","Pizza","0","0","0","0","0","0","0"
"American","Pizza","0","0","0","0","0","0","0"
"Desserts","Cafe","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"German","0","0","0","0","0","0","0","0"
"Thai","Chinese","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Foodtrck","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Bar","WineBar","BeerBar","0","0","0","0","0","0"
"JiceBar","0","0","0","0","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"Foodtrck","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Mexican","0","0","0","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"Deli","Brgers","American","Bar","SaladBar","0","0","0","0"
"Desserts","Bakery","0","0","0","0","0","0","0"
"AsianFsion","Foodtrck","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"WineBar","BeerBar","0","0","0","0","0","0","0"
"Brgers","Seafood","British","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Seafood","Steakhose","0","0","0","0","0","0","0"
"Cafe","SaladBar","0","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"American","Bar","BeerBar","Barbeqe","0","0","0","0","0"
"IceCream","0","0","0","0","0","0","0","0"
"Korean","Bar","BeerBar","0","0","0","0","0","0"
"Chinese","0","0","0","0","0","0","0","0"
"Desserts","0","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"Desserts","Indian","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Italian","0","0","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"WineBar","Bar","BeerBar","0","0","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"IceCream","0","0","0","0","0","0","0","0"
"Japanese","Chinese","0","0","0","0","0","0","0"
"Korean","Barbeqe","0","0","0","0","0","0","0"
"Mexican","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"IceCream","0","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"Deli","Brgers","Mediterranean","SaladBar","Greek","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"Pizza","Italian","0","0","0","0","0","0","0"
"French","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Canadian","0","0","0","0","0","0","0","0"
"Mexican","FastFood","0","0","0","0","0","0","0"
"SportsBar","Bar","Pizza","0","0","0","0","0","0"
"Desserts","Chinese","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"Thai","0","0","0","0","0","0","0","0"
"Deli","Brgers","American","FastFood","0","0","0","0","0"
"Italian","Pizza","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Foodtrck","0","0","0","0","0","0","0","0"
"Deli","Bakery","0","0","0","0","0","0","0"
"Thai","SshiBar","Japanese","Chinese","0","0","0","0","0"
"AsianFsion","Seafood","SshiBar","Japanese","0","0","0","0","0"
"Brgers","Bar","0","0","0","0","0","0","0"
"Deli","American","0","0","0","0","0","0","0"
"JiceBar","0","0","0","0","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"American","Bar","Seafood","0","0","0","0","0","0"
"Singaporean","Thai","Malaysian","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Foodtrck","FastFood","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Bakery","Cafe","0","0","0","0","0","0","0"
"JiceBar","0","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"Italian","0","0","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"Persian","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Desserts","Bakery","Cafe","0","0","0","0","0","0"
"Deli","American","0","0","0","0","0","0","0"
"Thai","Chinese","0","0","0","0","0","0","0"
"Donts","Cafe","0","0","0","0","0","0","0"
"Mexican","Tex-Mex","FastFood","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Caribbean","0","0","0","0","0","0","0","0"
"Donts","Waffles","Desserts","Bakery","American","Belgian","IceCream","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"IceCream","0","0","0","0","0","0","0","0"
"Pervian","LatinAmerican","0","0","0","0","0","0","0"
"Diner","Deli","American","Belgian","Waffles","Brgers","American","FastFood","0"
"Pizza","0","0","0","0","0","0","0","0"
"SportsBar","Bar","0","0","0","0","0","0","0"
"Mexican","Tex-Mex","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"Deli","Moroccan","0","0","0","0","0","0","0"
"Deli","FastFood","0","0","0","0","0","0","0"
"African","MiddleEastern","Moroccan","Egyptian","0","0","0","0","0"
"Lebanese","MiddleEastern","0","0","0","0","0","0","0"
"Deli","American","Diner","FastFood","0","0","0","0","0"
"Italian","0","0","0","0","0","0","0","0"
"Deli","Pizza","0","0","0","0","0","0","0"
"SshiBar","Japanese","0","0","0","0","0","0","0"
"Bar","WineBar","Longe","American","BeerBar","Pizza","0","0","0"
"Foodtrck","0","0","0","0","0","0","0","0"
"Desserts","Cafe","IceCream","0","0","0","0","0","0"
"FastFood","Mexican","Foodtrck","0","0","0","0","0","0"
"Pizza","Italian","0","0","0","0","0","0","0"
"TapasBar","Seafood","0","0","0","0","0","0","0"
"Longe","Bar","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"Desserts","IceCream","0","0","0","0","0","0","0"
"Deli","Brgers","FastFood","0","0","0","0","0","0"
"Italian","0","0","0","0","0","0","0","0"
"Thai","MiddleEastern","0","0","0","0","0","0","0"
"Greek","American","French","Italian","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Italian","Pizza","0","0","0","0","0","0","0"
"Persian","Arabian","Pizza","0","0","0","0","0","0"
"Mexican","Tex-Mex","0","0","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Diner","0","0","0","0","0","0","0","0"
"Brgers","JiceBar","SaladBar","0","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"WineBar","BeerBar","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"Diner","Chinese","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"Bar","0","0","0","0","0","0","0","0"
"Deli","Cafe","0","0","0","0","0","0","0"
"Pizza","Italian","0","0","0","0","0","0","0"
"Caribbean","0","0","0","0","0","0","0","0"
"Deli","Bar","American","WineBar","BeerBar","0","0","0","0"
"Chinese","FastFood","0","0","0","0","0","0","0"
"Deli","PastaShop","Italian","0","0","0","0","0","0"
"Trkish","0","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"American","Steakhose","Seafood","0","0","0","0","0","0"
"Seafood","Mexican","0","0","0","0","0","0","0"
"Brgers","0","0","0","0","0","0","0","0"
"Deli","FastFood","0","0","0","0","0","0","0"
"Deli","SaladBar","0","0","0","0","0","0","0"
"Bar","BeerBar","0","0","0","0","0","0","0"
"WineBar","Bar","French","0","0","0","0","0","0"
"Bakery","Cafe","0","0","0","0","0","0","0"
"Deli","American","Diner","0","0","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"Chinese","0","0","0","0","0","0","0","0"
"Afghan","Indian","0","0","0","0","0","0","0"
"Pizza","Italian","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"SportsBar","Bar","Italian","0","0","0","0","0","0"
"JiceBar","0","0","0","0","0","0","0","0"
"British","0","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"Deli","Donts","0","0","0","0","0","0","0"
"American","0","0","0","0","0","0","0","0"
"Deli","SaladBar","0","0","0","0","0","0","0"
"Cafe","Italian","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Pizza","Italian","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"Irish","Bar","0","0","0","0","0","0","0"
"Seafood","Chinese","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Diner","0","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"SshiBar","Japanese","0","0","0","0","0","0","0"
"Chinese","FastFood","0","0","0","0","0","0","0"
"Thai","0","0","0","0","0","0","0","0"
"Japanese","0","0","0","0","0","0","0","0"
"FastFood","0","0","0","0","0","0","0","0"
"Deli","Pizza","Italian","0","0","0","0","0","0"
"JiceBar","0","0","0","0","0","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"Deli","Bakery","0","0","0","0","0","0","0"
"Lebanese","MiddleEastern","0","0","0","0","0","0","0"
"Brgers","American","HotDogs","FastFood","0","0","0","0","0"
"Italian","Pizza","0","0","0","0","0","0","0"
"American","Bar","SaladBar","0","0","0","0","0","0"
"Mexican","FastFood","0","0","0","0","0","0","0"
"Mexican","Tex-Mex","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"American","Tex-Mex","FastFood","0","0","0","0","0","0"
"Pizza","Italian","0","0","0","0","0","0","0"
"Pizza","Italian","0","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"SshiBar","Japanese","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"American","Bar","0","0","0","0","0","0","0"
"Italian","0","0","0","0","0","0","0","0"
"Deli","Bakery","0","0","0","0","0","0","0"
"AsianFsion","Cafe","Hawaiian","Chinese","0","0","0","0","0"
"Italian","Pizza","0","0","0","0","0","0","0"
"Greek","American","0","0","0","0","0","0","0"
"Pizza","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Chinese","0","0","0","0","0","0","0","0"
"Deli","Pizza","0","0","0","0","0","0","0"
"JiceBar","Cafe","0","0","0","0","0","0","0"
"Deli","Mediterranean","MiddleEastern","Greek","Bakery","Arabian","0","0","0"
"Indian","0","0","0","0","0","0","0","0"
"Bakery","0","0","0","0","0","0","0","0"
"IceCream","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"JiceBar","0","0","0","0","0","0","0","0"
"SportsBar","Irish","Bar","0","0","0","0","0","0"
"Deli","0","0","0","0","0","0","0","0"
"Brgers","FastFood","0","0","0","0","0","0","0"
"Mediterranean","MiddleEastern","SaladBar","0","0","0","0","0","0"
"Deli","American","0","0","0","0","0","0","0"
"German","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"Foodtrck","0","0","0","0","0","0","0","0"
"Portgese","African","0","0","0","0","0","0","0"
"Cafe","0","0","0","0","0","0","0","0"
"SshiBar","SaladBar","Desserts","AsianFsion","Seafood","Japanese","TapasBar","0","0"
"Bar","Japanese","French","0","0","0","0","0","0"
"TapasBar","American","Bar","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0"
"American","Seafood","0","0","0","0","0","0","0"
"SportsBar","American","Bar","0","0","0","0","0","0"
"Cafe","Bar","Pizza","0","0","0","0","0","0"
"Seafood","0","0","0","0","0","0","0","0"
"Deli","Desserts","Cafe","Belgian","0","0","0","0","0"
"IceCream","Pizza","0","0","0","0","0","0","0"
"Japanese","FastFood","0","0","0","0","0","0","0"
"Ethiopian","0","0","0","0","0","0","0","0"
"Chinese","0","0","0","0","0","0","0","0"
